time,accuracy
10.005299049,0.15
20.016450715,0.09
30.025224318,0.06
40.030384642,0.16
50.042597651,0.12
60.044316072,0.25
70.047691196,0.15
80.049460771,0.18
90.056713823,0.25
100.061661919,0.27
110.068913355,0.22
120.074417874,0.27
130.081675853,0.34
140.08833073,0.3
150.090794516,0.35
160.092889816,0.33
170.095441733,0.34
180.099672814,0.34
190.111862273,0.32
200.114874816,0.33
210.12481552,0.44
220.132212485,0.42
230.135610911,0.47
240.139200143,0.42
250.142121398,0.46
260.146679319,0.4
270.14860618,0.39
280.156355543,0.51
290.16285007,0.5
300.168008937,0.45
310.172677708,0.43
320.182471857,0.4
330.190759671,0.37
340.192906567,0.44
350.197535393,0.45
360.205067262,0.49
370.208193573,0.45
380.211356517,0.42
390.217666509,0.47
400.226849895,0.54
410.233665674,0.48
420.240108609,0.56
430.247277956,0.51
440.252758553,0.53
450.255416604,0.62
460.262085849,0.55
470.265261378,0.43
480.268643164,0.54
490.272673918,0.47
500.275422763,0.63
510.282285051,0.57
520.286346253,0.61
530.290520513,0.56
540.297509251,0.55
550.302815082,0.51
560.308980225,0.47
570.3107271,0.59
580.315628058,0.54
590.322583248,0.55
600.328743336,0.57
610.336067743,0.58
620.338470246,0.57
630.348034018,0.53
640.349578836,0.6
650.351586615,0.57
660.358393552,0.62
670.36426332,0.67
680.372703083,0.6
690.377402975,0.61
700.379469463,0.58
710.383435214,0.62
720.389743005,0.64
730.398852151,0.59
740.402834407,0.63
750.405054763,0.62
760.411662574,0.62
770.415576182,0.65
780.421741219,0.6
790.426156441,0.59
800.428592288,0.63
810.431948137,0.67
820.435641561,0.66
830.441722311,0.69
840.446776487,0.66
850.452124973,0.63
860.456333646,0.68
870.46331211,0.66
880.472312196,0.7
890.477760127,0.72
900.481586573,0.72
910.484449533,0.65
920.486892033,0.72
930.490670937,0.7
940.494189742,0.69
950.498462625,0.67
960.502382502,0.57
970.5049804,0.73
980.511992868,0.69
990.514757435,0.67
1000.520150412,0.71
1010.522786523,0.65
1020.528465395,0.71
1030.531290971,0.64
1040.541710144,0.66
1050.543566146,0.65
1060.549853094,0.65
1070.554042325,0.66
1080.559897269,0.79
1090.562486776,0.68
1100.574191874,0.71
1110.582315147,0.74
1120.588338588,0.7
1130.595056811,0.73
1140.600079896,0.7
1150.606665343,0.65
1160.609936467,0.7
1170.619881052,0.77
1180.624777914,0.65
1190.634785397,0.77
1200.642634513,0.77
1210.658857282,0.73
1220.661138422,0.65
1230.664804286,0.75
1240.669327267,0.75
1250.675272275,0.75
1260.677911093,0.74
1270.684798013,0.73
1280.68786325,0.72
1290.691251319,0.71
1300.70054627,0.69
1310.70409735,0.79
1320.705955416,0.74
1330.712165314,0.69
1340.717191287,0.7
1350.726066425,0.77
1360.731939188,0.85
1370.749499443,0.7
1380.757629752,0.78
1390.759042219,0.75
1400.766233992,0.69
1410.769558437,0.7
1420.778471279,0.78
1430.783115079,0.76
1440.788981254,0.71
1450.791632889,0.71
1460.799035459,0.78
1470.803833196,0.78
1480.813477429,0.71
1490.819084618,0.84
1500.828754887,0.77
1510.835521726,0.87
1520.839624795,0.81
1530.843666589,0.8
1540.851545955,0.87
1550.856978384,0.78
1560.863035751,0.77
1570.868652727,0.69
1580.874499437,0.73
1590.881796995,0.76
1600.889063549,0.75
1610.894794889,0.85
1620.903949006,0.69
1630.91317916,0.76
1640.917814618,0.74
1650.922507293,0.72
1660.930021739,0.77
1670.93327862,0.81
1680.93787548,0.77
1690.939995962,0.76
1700.950637745,0.78
1710.957993986,0.74
1720.963126158,0.77
1730.977957045,0.81
1740.987030194,0.88
1750.988473417,0.73
1760.991981009,0.82
1780.003551485,0.73
1790.006853613,0.72
1800.012104396,0.86
1810.017012012,0.79
1820.022961478,0.76
1830.02548124,0.86
1840.040268759,0.8
1850.046825275,0.88
1860.049817861,0.86
1870.053373418,0.75
1880.058470679,0.8
1890.063189386,0.76
1900.065347235,0.81
1910.069092658,0.74
1920.074685691,0.75
1930.099198524,0.76
1940.130102807,0.77
1950.134317425,0.83
1960.138807911,0.71
1970.143815875,0.84
1980.150771864,0.76
1990.153948124,0.86
2000.157796419,0.79
2010.160622293,0.74
2020.164104471,0.71
2030.1658331849999,0.81
2040.1721289739999,0.8
2050.176921336,0.82
2060.181403448,0.79
2070.183809198,0.82
2080.187344886,0.84
2090.19453818,0.75
2100.1986952409998,0.76
2110.205613058,0.87
2120.207776731,0.78
2130.210338124,0.8
2140.213935632,0.83
2150.220725496,0.82
2160.229415362,0.84
2170.234297161,0.81
2180.243315406,0.79
2190.251210385,0.82
2200.253504071,0.84
2210.2598364,0.83
2220.266324659,0.75
2230.274188201,0.84
2240.279049334,0.82
2250.292071639,0.85
2260.298949092,0.79
2270.305952781,0.81
2280.312225716,0.81
2290.322375282,0.78
2300.3348676269998,0.85
2310.340414653,0.85
2320.349934711,0.83
2330.35450466,0.83
2340.366161764,0.79
2350.374651974,0.82
2360.387131572,0.8
2370.394469371,0.79
2380.401735143,0.87
2390.408925702,0.8
2400.411685,0.84
2410.41851331,0.82
2420.427425704,0.78
2430.432917137,0.77
2440.442061018,0.84
2450.448825865,0.85
2460.453101345,0.85
2470.460635007,0.82
2480.468592498,0.82
2490.471765547,0.76
2500.4742720570002,0.77
2510.482315133,0.8
2520.485956601,0.84
2530.487355009,0.75
2540.488879952,0.87
2550.493539438,0.8
2560.50126047,0.85
2570.503788862,0.78
2580.5081272830002,0.79
2590.511943268,0.84
2600.515939849,0.8
2610.520508168,0.83
2620.524742921,0.87
2630.527276742,0.81
2640.52937964,0.84
2650.5363362010003,0.79
2660.543893244,0.79
2670.5494233179998,0.85
2680.556061594,0.78
2690.562143642,0.8
2700.564072579,0.86
2710.566838431,0.84
2720.574872421,0.82
2730.581120534,0.77
2740.586587026,0.85
2750.591711749,0.86
2760.596776816,0.76
2770.602562093,0.83
2780.604599174,0.84
2790.610166329,0.8
2800.615357507,0.84
2810.61698722,0.8
2820.623045414,0.85
2830.629912084,0.88
2840.632207659,0.8
2850.639041149,0.83
2860.646469237,0.8
2870.651547,0.84
2880.658634341,0.81
2890.665522033,0.87
2900.6671099229998,0.85
2910.669223606,0.83
2920.6752712830003,0.78
2930.678496085,0.74
2940.68529194,0.87
2950.692959859,0.84
2960.704252198,0.77
2970.712580075,0.75
2980.7150619989998,0.85
2990.721421787,0.75
3000.725966089,0.81
3010.7289970809998,0.82
3020.7324776180003,0.77
3030.734200604,0.84
3040.73660605,0.84
3050.739671274,0.83
3060.7487792849997,0.77
3070.756032761,0.88
3080.757930531,0.83
3090.760706366,0.87
3100.765797821,0.86
3110.768872566,0.86
3120.77254938,0.86
3130.7752293539997,0.81
3140.780881748,0.82
3150.790005468,0.79
3160.796454845,0.87
3170.7989583890003,0.9
3180.804750436,0.82
3190.806155868,0.85
3200.808718409,0.84
3210.813706196,0.81
3220.817408795,0.86
3230.821998809,0.93
